lr-Adam,step,train_base,val_base
1e-05,0,,
,0,,20.613704681396484
,0,23.9404296875,
1e-05,9843,,
,1,,16.741519927978516
,1,18.580310821533203,
1e-05,19686,,
,2,,14.324644088745117
,2,15.228653907775879,
1e-05,29529,,
,3,,12.667898178100586
,3,13.275847434997559,
1e-05,39372,,
,4,,12.304312705993652
,4,12.39587688446045,
1e-05,49215,,
,5,,11.85626220703125
,5,11.844376564025879,
1e-05,59058,,
,6,,11.393601417541504
,6,11.434104919433594,
1e-05,68901,,
,7,,10.817421913146973
,7,11.102338790893555,
1e-05,78744,,
,8,,10.608282089233398
,8,10.821727752685547,
1e-05,88587,,
,9,,10.340147018432617
,9,10.55943489074707,
1e-05,98430,,
,10,,10.107002258300781
,10,10.323880195617676,
1e-05,108273,,
,11,,9.963258743286133
,11,10.10116195678711,
1e-05,118116,,
,12,,9.767163276672363
,12,9.875930786132812,
1e-05,127959,,
,13,,9.512678146362305
,13,9.69381046295166,
1e-05,137802,,
,14,,9.545534133911133
,14,9.517156600952148,
1e-05,147645,,
,15,,9.466654777526855
,15,9.329428672790527,
1e-05,157488,,
,16,,9.029419898986816
,16,9.169775009155273,
1e-05,167331,,
,17,,8.907503128051758
,17,9.029994010925293,
1e-05,177174,,
,18,,8.832263946533203
,18,8.905585289001465,
1e-05,187017,,
,19,,8.80916690826416
,19,8.788424491882324,
5e-06,196860,,
,20,,8.632161140441895
,20,8.632906913757324,
5e-06,206703,,
,21,,8.588418006896973
,21,8.579627990722656,
5e-06,216546,,
,22,,8.62533187866211
,22,8.528399467468262,
5e-06,226389,,
,23,,8.575247764587402
,23,8.485710144042969,
5e-06,236232,,
,24,,8.460672378540039
,24,8.440855979919434,
5e-06,246075,,
,25,,8.481030464172363
,25,8.398193359375,
5e-06,255918,,
,26,,8.429732322692871
,26,8.362083435058594,
5e-06,265761,,
,27,,8.376811981201172
,27,8.317334175109863,
5e-06,275604,,
,28,,8.310945510864258
,28,8.284361839294434,
5e-06,285447,,
,29,,8.308647155761719
,29,8.243202209472656,
5e-06,295290,,
,30,,8.24915599822998
,30,8.210613250732422,
5e-06,305133,,
,31,,8.259516716003418
,31,8.176395416259766,
5e-06,314976,,
,32,,8.187950134277344
,32,8.14610481262207,
5e-06,324819,,
,33,,8.141789436340332
,33,8.109458923339844,
5e-06,334662,,
,34,,8.13193130493164
,34,8.0783052444458,
5e-06,344505,,
,35,,8.090095520019531
,35,8.044378280639648,
5e-06,354348,,
,36,,8.121607780456543
,36,8.014662742614746,
5e-06,364191,,
,37,,8.058540344238281
,37,7.987007141113281,
5e-06,374034,,
,38,,8.072598457336426
,38,7.955063343048096,
5e-06,383877,,
,39,,7.987368583679199
,39,7.928457260131836,
2.5e-06,393720,,
,40,,7.961062431335449
,40,7.876724720001221,
2.5e-06,403563,,
,41,,7.953649520874023
,41,7.861701965332031,
2.5e-06,413406,,
,42,,7.930202484130859
,42,7.8490986824035645,
2.5e-06,423249,,
,43,,7.925832748413086
,43,7.8353376388549805,
2.5e-06,433092,,
,44,,7.90781831741333
,44,7.820232391357422,
2.5e-06,442935,,
,45,,7.9060282707214355
,45,7.806055068969727,
2.5e-06,452778,,
,46,,7.876926422119141
,46,7.793176174163818,
2.5e-06,462621,,
,47,,7.869792938232422
,47,7.7810564041137695,
2.5e-06,472464,,
,48,,7.851653575897217
,48,7.769333839416504,
2.5e-06,482307,,
,49,,7.863368988037109
