lr-Adam,step,train_base,val_base
0.0001,0,,
,0.0,,10.136164665222168
,0.0,14.082647323608398,
0.0001,9843,,
,1.0,,8.651381492614746
,1.0,9.296686172485352,
0.0001,19686,,
,2.0,,8.21501350402832
,2.0,8.333207130432129,
0.0001,29529,,
,3.0,,7.54801082611084
,3.0,7.811221122741699,
0.0001,39372,,
,4.0,,7.3868794441223145
,4.0,7.48599100112915,
0.0001,49215,,
,5.0,,7.143444538116455
,5.0,7.2580108642578125,
0.0001,59058,,
,6.0,,6.998266220092773
,6.0,7.078465461730957,
0.0001,68901,,
,7.0,,6.9584856033325195
,7.0,6.939881801605225,
0.0001,78744,,
,8.0,,6.7768144607543945
,8.0,6.82798433303833,
0.0001,88587,,
,9.0,,6.861795902252197
,9.0,6.738290309906006,
0.0001,98430,,
,10.0,,6.778395652770996
,10.0,6.65709114074707,
0.0001,108273,,
,11.0,,6.577593803405762
,11.0,6.580874443054199,
0.0001,118116,,
,12.0,,6.583884239196777
,12.0,6.518324375152588,
0.0001,127959,,
,13.0,,6.470378875732422
,13.0,6.451096057891846,
0.0001,137802,,
,14.0,,6.4671831130981445
,14.0,6.4092817306518555,
0.0001,147645,,
,15.0,,6.43698787689209
,15.0,6.3555216789245605,
